product_category_name,total
beleza_saude,1441248.0700000057
relogios_presentes,1305541.6100000057
cama_mesa_banho,1241681.7200000018
esporte_lazer,1156656.480000005
informatica_acessorios,1059272.3999999997
moveis_decoracao,902511.7899999914
utilidades_domesticas,778397.769999999
cool_stuff,719329.9500000016
automotivo,685384.3199999997
ferramentas_jardim,584219.210000002
brinquedos,561372.5499999986
bebes,480118.00000000047
perfumaria,453338.71000000346
telefonia,394883.32000000606
moveis_escritorio,342532.65000000066
papelaria,277741.7100000016
pet_shop,253876.65000000058
pcs,232799.43000000025
instrumentos_musicais,210137.37000000037
NULL,207705.09000000032
eletronicos,206825.0600000015
eletroportateis,206668.83000000002
fashion_bolsas_e_acessorios,184273.5400000002
consoles_games,177293.24000000066
malas_acessorios,170875.2099999996
construcao_ferramentas_construcao,165327.99999999985
eletrodomesticos_2,123917.92000000016
casa_construcao,96920.36000000009
eletrodomesticos,94990.43000000005
moveis_sala,86884.73000000017
agro_industria_e_comercio,78374.07000000007
casa_conforto,67073.26999999997
telefonia_fixa,64220.80999999999
climatizacao,61774.190000000024
moveis_cozinha_area_de_servico_jantar_e_jardim,58327.79999999998
audio,56398.94
livros_interesse_geral,56052.40000000003
portateis_casa_forno_e_cafe,50193.57
construcao_ferramentas_iluminacao,48663.799999999996
industria_comercio_e_negocios,47554.29000000004
construcao_ferramentas_seguranca,44463.62
alimentos,36664.44000000001
market_place,33834.53000000003
construcao_ferramentas_jardim,31027.289999999994
fashion_calcados,28481.639999999985
artes,28247.810000000023
bebidas,28169.94999999997
sinalizacao_e_seguranca,28017.05
moveis_quarto,24661.01
livros_tecnicos,23379.11999999998
alimentos_bebidas,19687.469999999972
construcao_ferramentas_ferramentas,17934.170000000006
fashion_roupa_masculina,12950.230000000003
artigos_de_natal,12030.12000000001
fashion_underwear_e_moda_praia,11457.739999999996
tablets_impressao_imagem,8754.610000000002
cine_foto,8189.66
dvds_blu_ray,7288.129999999997
musica,6724.86
moveis_colchao_e_estofado,5998.539999999999
livros_importados,5409.700000000002
artigos_de_festas,5313.149999999999
portateis_cozinha_e_preparadores_de_alimentos,4278.29
fashion_roupa_feminina,3425.3900000000012
fashion_esporte,2697.64
la_cuisine,2388.54
artes_e_artesanato,2184.14
fraldas_higiene,2141.2700000000004
pc_gamer,1679.52
flores,1598.9100000000005
casa_conforto_2,1170.5800000000002
cds_dvds_musicais,954.99
fashion_roupa_infanto_juvenil,665.36
seguros_e_servicos,324.51
