customer_state,total
SP,5921678.119999806
RJ,2129681.9800000093
MG,1856161.490000008
RS,885826.7599999965
PR,800935.4400000003
BA,611506.6700000037
SC,610213.5999999996
DF,353229.44
GO,347706.93000000075
ES,324801.91000000155
PE,322237.6899999993
CE,275606.3000000001
PA,217647.10999999972
MT,186168.96000000002
MA,151171.9900000001
PB,140987.81
MS,135956.66999999993
PI,108132.27999999985
RN,101895.08000000003
AL,96229.40000000001
SE,73032.31999999992
TO,61354.420000000006
RO,57558.019999999975
AM,27835.72999999999
AC,19669.699999999993
AP,16262.799999999997
RR,10064.619999999999
